Height[m]  Pressure[hPa]  Temperature[°C]  Dewpoint[°C]  Wind direction[°]  Wind speed[m/s]
2080       759.35         10.11            -3.92         334.9              2.46
2090       758.44         10.03            -3.99         330.8              2.43
2100       757.53         9.95             -4.08         327.2              2.42
2110       756.62         9.88             -4.16         324.1              2.42
2120       755.72         9.79             -4.26         323.1              2.45
2130       754.81         9.71             -4.35         325.6              2.47
2140       753.90         9.64             -4.44         326.3              2.56
2150       753.00         9.57             -4.55         329.3              2.65
2160       752.10         9.51             -4.66         328.6              2.73
2170       751.19         9.44             -4.79         325.9              2.80
2180       750.29         9.38             -4.93         323.7              2.92
2190       749.39         9.32             -5.05         321.1              3.11
2200       748.49         9.26             -5.16         319.8              3.15
2210       747.59         9.20             -5.26         319.2              3.13
2220       746.69         9.13             -5.39         322.5              3.10
2230       745.80         9.07             -5.56         325.8              3.02
2240       744.90         9.01             -5.76         326.8              2.92
2250       744.01         8.96             -6.02         325.2              2.81
2260       743.11         8.90             -6.33         328.2              2.63
2270       742.22         8.83             -6.67         327.6              2.56
2280       741.32         8.75             -6.97         328.9              2.50
2290       740.43         8.68             -7.21         325.9              2.35
2300       739.54         8.60             -7.33         326.3              2.33
2310       738.65         8.53             -7.42         326.3              2.35
2320       737.76         8.44             -7.45         321.6              2.38
2330       736.87         8.36             -7.42         321.6              2.40
2340       735.98         8.25             -7.40         319.3              2.35
2350       735.09         8.13             -7.37         321.8              2.36
2360       734.21         8.02             -7.38         321.6              2.45
2370       733.32         7.93             -7.41         321.7              2.41
2380       732.44         7.84             -7.45         323.1              2.41
2390       731.55         7.77             -7.48         324.6              2.43
2400       730.67         7.69             -7.52         326.6              2.46
2410       729.79         7.62             -7.56         328.3              2.51
2420       728.90         7.53             -7.60         328.6              2.50
2430       728.02         7.44             -7.66         328.0              2.50
2440       727.14         7.34             -7.71         326.3              2.49
2450       726.26         7.25             -7.76         324.7              2.49
2460       725.38         7.16             -7.80         323.5              2.51
2470       724.51         7.07             -7.84         322.2              2.48
2480       723.63         7.00             -7.86         321.7              2.43
2490       722.75         6.90             -7.88         320.8              2.41
2500       721.88         6.84             -7.90         319.4              2.44
2510       721.00         6.74             -7.93         320.6              2.42
2520       720.13         6.64             -8.00         324.8              2.48
2530       719.25         6.52             -8.09         330.9              2.47
2540       718.38         6.40             -8.19         336.4              2.47
